"year","county","route","count"
2024,"orange","orng-08",0
1999,"orange","orng-09",14
2000,"orange","orng-09",7
2001,"orange","orng-09",12
2002,"orange","orng-09",0
2004,"orange","orng-09",0
2005,"orange","orng-09",0
2006,"orange","orng-09",6
2007,"orange","orng-09",1
2008,"orange","orng-09",1
2009,"orange","orng-09",2
2011,"orange","orng-09",1
2012,"orange","orng-09",1
2013,"orange","orng-09",2
2014,"orange","orng-09",0
2015,"orange","orng-09",1
2016,"orange","orng-09",0
2019,"orange","orng-09",0
2020,"orange","orng-09",0
2021,"orange","orng-09",0
2022,"orange","orng-09",0
2023,"orange","orng-09",1
2024,"orange","orng-09",0
1999,"orange","orng-10",15
2000,"orange","orng-10",15
2001,"orange","orng-10",7
2002,"orange","orng-10",9
2003,"orange","orng-10",21
2004,"orange","orng-10",20
2005,"orange","orng-10",19
2006,"orange","orng-10",6
2007,"orange","orng-10",11
2008,"orange","orng-10",8
2009,"orange","orng-10",4
2012,"orange","orng-10",6
2013,"orange","orng-10",8
2016,"orange","orng-10",0
2017,"orange","orng-10",22
2018,"orange","orng-10",0
2019,"orange","orng-10",2
2020,"orange","orng-10",0
2021,"orange","orng-10",2
2023,"orange","orng-10",0
2024,"orange","orng-10",1
1999,"orange","orng-11",40
2000,"orange","orng-11",1
2001,"orange","orng-11",0
2002,"orange","orng-11",30
2003,"orange","orng-11",0
2004,"orange","orng-11",0
2005,"orange","orng-11",0
2006,"orange","orng-11",5
2007,"orange","orng-11",5
2008,"orange","orng-11",0
2009,"orange","orng-11",0
2017,"orange","orng-11",1
2018,"orange","orng-11",0
2019,"orange","orng-11",3
2020,"orange","orng-11",0
2021,"orange","orng-11",1
2022,"orange","orng-11",0
2023,"orange","orng-11",3
2024,"orange","orng-11",0
1999,"orange","orng-12",18
2000,"orange","orng-12",11
2001,"orange","orng-12",15
2002,"orange","orng-12",11
2003,"orange","orng-12",15
2004,"orange","orng-12",10
2005,"orange","orng-12",14
2006,"orange","orng-12",3
2007,"orange","orng-12",19
2008,"orange","orng-12",10
2009,"orange","orng-12",3
2010,"orange","orng-12",8
2011,"orange","orng-12",1
2012,"orange","orng-12",2
2013,"orange","orng-12",0
2014,"orange","orng-12",0
2015,"orange","orng-12",0
2016,"orange","orng-12",3
2017,"orange","orng-12",5
2018,"orange","orng-12",0
2019,"orange","orng-12",2
2020,"orange","orng-12",1
2021,"orange","orng-12",0
2022,"orange","orng-12",0
2023,"orange","orng-12",0
2024,"orange","orng-12",4
2000,"chatham","cthm-01",0
2001,"chatham","cthm-01",4
2002,"chatham","cthm-01",0
2003,"chatham","cthm-01",0
2004,"chatham","cthm-01",1
2005,"chatham","cthm-01",0
2006,"chatham","cthm-01",4
2007,"chatham","cthm-01",3
2008,"chatham","cthm-01",2
2009,"chatham","cthm-01",5
2010,"chatham","cthm-01",8
2011,"chatham","cthm-01",1
2012,"chatham","cthm-01",0
2013,"chatham","cthm-01",0
2014,"chatham","cthm-01",0
2015,"chatham","cthm-01",3
2016,"chatham","cthm-01",0
2017,"chatham","cthm-01",1
2018,"chatham","cthm-01",2
2019,"chatham","cthm-01",0
2020,"chatham","cthm-01",0
2021,"chatham","cthm-01",0
2022,"chatham","cthm-01",3
2023,"chatham","cthm-01",0
2024,"chatham","cthm-01",0
2000,"chatham","cthm-02",4
2001,"chatham","cthm-02",7
2002,"chatham","cthm-02",1
2003,"chatham","cthm-02",21
2004,"chatham","cthm-02",7
2005,"chatham","cthm-02",3
2006,"chatham","cthm-02",7
2007,"chatham","cthm-02",3
2008,"chatham","cthm-02",8
2009,"chatham","cthm-02",4
2010,"chatham","cthm-02",5
2011,"chatham","cthm-02",1
2012,"chatham","cthm-02",3
2013,"chatham","cthm-02",9
2014,"chatham","cthm-02",4
2015,"chatham","cthm-02",5
2016,"chatham","cthm-02",1
2017,"chatham","cthm-02",8
2018,"chatham","cthm-02",11
2019,"chatham","cthm-02",0
2020,"chatham","cthm-02",2
2021,"chatham","cthm-02",0
2022,"chatham","cthm-02",2
2023,"chatham","cthm-02",0
2024,"chatham","cthm-02",7
2000,"chatham","cthm-03",19
2001,"chatham","cthm-03",15
2002,"chatham","cthm-03",14
2003,"chatham","cthm-03",24
2004,"chatham","cthm-03",10
2005,"chatham","cthm-03",15
2006,"chatham","cthm-03",3
2007,"chatham","cthm-03",3
2008,"chatham","cthm-03",1
2009,"chatham","cthm-03",6
2010,"chatham","cthm-03",13
2011,"chatham","cthm-03",0
2012,"chatham","cthm-03",15
2013,"chatham","cthm-03",1
2014,"chatham","cthm-03",2
2015,"chatham","cthm-03",4
2016,"chatham","cthm-03",3
2017,"chatham","cthm-03",5
2018,"chatham","cthm-03",4
2019,"chatham","cthm-03",0
2020,"chatham","cthm-03",0
2021,"chatham","cthm-03",0
2022,"chatham","cthm-03",0
2023,"chatham","cthm-03",1
2024,"chatham","cthm-03",0
2000,"chatham","cthm-04",6
2001,"chatham","cthm-04",0
2002,"chatham","cthm-04",13
2003,"chatham","cthm-04",6
2004,"chatham","cthm-04",5
2005,"chatham","cthm-04",3
2006,"chatham","cthm-04",5
2007,"chatham","cthm-04",14
2008,"chatham","cthm-04",4
2009,"chatham","cthm-04",10
2010,"chatham","cthm-04",0
2011,"chatham","cthm-04",6
2012,"chatham","cthm-04",13
2013,"chatham","cthm-04",4
2014,"chatham","cthm-04",2
2015,"chatham","cthm-04",1
2016,"chatham","cthm-04",0
2017,"chatham","cthm-04",0
2018,"chatham","cthm-04",0
2019,"chatham","cthm-04",4
2020,"chatham","cthm-04",4
2021,"chatham","cthm-04",2
2022,"chatham","cthm-04",2
2023,"chatham","cthm-04",10
2024,"chatham","cthm-04",0
2000,"chatham","cthm-05",2
2001,"chatham","cthm-05",0
2002,"chatham","cthm-05",17
2003,"chatham","cthm-05",15
2004,"chatham","cthm-05",0
2005,"chatham","cthm-05",1
2006,"chatham","cthm-05",13
2007,"chatham","cthm-05",4
2008,"chatham","cthm-05",27
2009,"chatham","cthm-05",4
2010,"chatham","cthm-05",62
2011,"chatham","cthm-05",47
2012,"chatham","cthm-05",6
2013,"chatham","cthm-05",11
2014,"chatham","cthm-05",6
2015,"chatham","cthm-05",6
2016,"chatham","cthm-05",3
2017,"chatham","cthm-05",8
2018,"chatham","cthm-05",9
2019,"chatham","cthm-05",11
2020,"chatham","cthm-05",12
2021,"chatham","cthm-05",1
2022,"chatham","cthm-05",0
2023,"chatham","cthm-05",3
2024,"chatham","cthm-05",5
2000,"chatham","cthm-06",30
2001,"chatham","cthm-06",30
2002,"chatham","cthm-06",4
2003,"chatham","cthm-06",7
2004,"chatham","cthm-06",5
2005,"chatham","cthm-06",26
2006,"chatham","cthm-06",14
2007,"chatham","cthm-06",22
2008,"chatham","cthm-06",14
2009,"chatham","cthm-06",33
2010,"chatham","cthm-06",62
2018,"chatham","cthm-06",18
2019,"chatham","cthm-06",6
2020,"chatham","cthm-06",2
2021,"chatham","cthm-06",1
2022,"chatham","cthm-06",1
2023,"chatham","cthm-06",0
2024,"chatham","cthm-06",2
2000,"chatham","cthm-07",1
2001,"chatham","cthm-07",15
2002,"chatham","cthm-07",5
2003,"chatham","cthm-07",8
2004,"chatham","cthm-07",23
2005,"chatham","cthm-07",3
2006,"chatham","cthm-07",4
2007,"chatham","cthm-07",4
2008,"chatham","cthm-07",9
2009,"chatham","cthm-07",3
2010,"chatham","cthm-07",7
2011,"chatham","cthm-07",4
2012,"chatham","cthm-07",6
2013,"chatham","cthm-07",7
2014,"chatham","cthm-07",1
2015,"chatham","cthm-07",42
2016,"chatham","cthm-07",5
2017,"chatham","cthm-07",3
2018,"chatham","cthm-07",6
2019,"chatham","cthm-07",2
2020,"chatham","cthm-07",2
2021,"chatham","cthm-07",2
2022,"chatham","cthm-07",4
2023,"chatham","cthm-07",2
2024,"chatham","cthm-07",1
2000,"chatham","cthm-08",7
2001,"chatham","cthm-08",6
2002,"chatham","cthm-08",51
2003,"chatham","cthm-08",45
2004,"chatham","cthm-08",0
2005,"chatham","cthm-08",3
2006,"chatham","cthm-08",1
2007,"chatham","cthm-08",4
2008,"chatham","cthm-08",11
2009,"chatham","cthm-08",4
2010,"chatham","cthm-08",6
2011,"chatham","cthm-08",1
2012,"chatham","cthm-08",25
2013,"chatham","cthm-08",0
2014,"chatham","cthm-08",1
2015,"chatham","cthm-08",0
2016,"chatham","cthm-08",0
2017,"chatham","cthm-08",0
2019,"chatham","cthm-08",0
2020,"chatham","cthm-08",0
2021,"chatham","cthm-08",0
2022,"chatham","cthm-08",2
2023,"chatham","cthm-08",0
2024,"chatham","cthm-08",3
2000,"chatham","cthm-09",1
2001,"chatham","cthm-09",7
2002,"chatham","cthm-09",0
2003,"chatham","cthm-09",0
2005,"chatham","cthm-09",1
2006,"chatham","cthm-09",3
2007,"chatham","cthm-09",0
2008,"chatham","cthm-09",0
2009,"chatham","cthm-09",5
2010,"chatham","cthm-09",7
2011,"chatham","cthm-09",4
2012,"chatham","cthm-09",0
2013,"chatham","cthm-09",1
2014,"chatham","cthm-09",0
2015,"chatham","cthm-09",0
2016,"chatham","cthm-09",3
2017,"chatham","cthm-09",1
2018,"chatham","cthm-09",4
2019,"chatham","cthm-09",1
2020,"chatham","cthm-09",2
2021,"chatham","cthm-09",0
2022,"chatham","cthm-09",0
2023,"chatham","cthm-09",3
2024,"chatham","cthm-09",2
2000,"chatham","cthm-10",24
2001,"chatham","cthm-10",16
2002,"chatham","cthm-10",0
2003,"chatham","cthm-10",1
2004,"chatham","cthm-10",3
2005,"chatham","cthm-10",1
2006,"chatham","cthm-10",0
2007,"chatham","cthm-10",3
2008,"chatham","cthm-10",2
2009,"chatham","cthm-10",3
2010,"chatham","cthm-10",0
2011,"chatham","cthm-10",1
2012,"chatham","cthm-10",16
2013,"chatham","cthm-10",2
2015,"chatham","cthm-10",0
2016,"chatham","cthm-10",0
2017,"chatham","cthm-10",1
2018,"chatham","cthm-10",2
2019,"chatham","cthm-10",0
2020,"chatham","cthm-10",1
2021,"chatham","cthm-10",0
2022,"chatham","cthm-10",0
2023,"chatham","cthm-10",1
2024,"chatham","cthm-10",7
2000,"chatham","cthm-11",1
2001,"chatham","cthm-11",2
2002,"chatham","cthm-11",0
2003,"chatham","cthm-11",0
2005,"chatham","cthm-11",1
2006,"chatham","cthm-11",8
2007,"chatham","cthm-11",17
2008,"chatham","cthm-11",10
2009,"chatham","cthm-11",4
2010,"chatham","cthm-11",1
2011,"chatham","cthm-11",5
2012,"chatham","cthm-11",2
2013,"chatham","cthm-11",3
2016,"chatham","cthm-11",0
2020,"chatham","cthm-11",1
2022,"chatham","cthm-11",0
2023,"chatham","cthm-11",0
2024,"chatham","cthm-11",0
2000,"chatham","cthm-12",0
2001,"chatham","cthm-12",6
2002,"chatham","cthm-12",8
2003,"chatham","cthm-12",10
2004,"chatham","cthm-12",0
2005,"chatham","cthm-12",17
2006,"chatham","cthm-12",13
2007,"chatham","cthm-12",5
2008,"chatham","cthm-12",3
2009,"chatham","cthm-12",0
2017,"chatham","cthm-12",7
2019,"chatham","cthm-12",8
2020,"chatham","cthm-12",2
2021,"chatham","cthm-12",4
2022,"chatham","cthm-12",8
2023,"chatham","cthm-12",3
2024,"chatham","cthm-12",2
2000,"chatham","cthm-13",0
2001,"chatham","cthm-13",0
2002,"chatham","cthm-13",0
2003,"chatham","cthm-13",0
2004,"chatham","cthm-13",0
2005,"chatham","cthm-13",0
2006,"chatham","cthm-13",4
2007,"chatham","cthm-13",2
2008,"chatham","cthm-13",37
2009,"chatham","cthm-13",12
2010,"chatham","cthm-13",21
2011,"chatham","cthm-13",52
2012,"chatham","cthm-13",19
2013,"chatham","cthm-13",10
2014,"chatham","cthm-13",34
2015,"chatham","cthm-13",20
2016,"chatham","cthm-13",15
2017,"chatham","cthm-13",5
2018,"chatham","cthm-13",1
2019,"chatham","cthm-13",4
2020,"chatham","cthm-13",9
2021,"chatham","cthm-13",9
2022,"chatham","cthm-13",7
2023,"chatham","cthm-13",7
2024,"chatham","cthm-13",7
2000,"chatham","cthm-14",14
2001,"chatham","cthm-14",10
2002,"chatham","cthm-14",17
2003,"chatham","cthm-14",4
2004,"chatham","cthm-14",14
2005,"chatham","cthm-14",65
2006,"chatham","cthm-14",8
2007,"chatham","cthm-14",51
2008,"chatham","cthm-14",10
2009,"chatham","cthm-14",8
2014,"chatham","cthm-14",2
2015,"chatham","cthm-14",2
2019,"chatham","cthm-14",0
2020,"chatham","cthm-14",0
2021,"chatham","cthm-14",0
2022,"chatham","cthm-14",0
2023,"chatham","cthm-14",1
2024,"chatham","cthm-14",4
2002,"durham","drhm-01",7
2003,"durham","drhm-01",1
2004,"durham","drhm-01",14
2005,"durham","drhm-01",3
2006,"durham","drhm-01",8
2007,"durham","drhm-01",4
2008,"durham","drhm-01",4
2009,"durham","drhm-01",1
2010,"durham","drhm-01",4
2011,"durham","drhm-01",0
2012,"durham","drhm-01",0
2013,"durham","drhm-01",0
2014,"durham","drhm-01",0
2015,"durham","drhm-01",1
2016,"durham","drhm-01",0
2017,"durham","drhm-01",7
2018,"durham","drhm-01",0
2019,"durham","drhm-01",28
2020,"durham","drhm-01",6
2021,"durham","drhm-01",0
2022,"durham","drhm-01",3
2023,"durham","drhm-01",0
2024,"durham","drhm-01",1
2002,"durham","drhm-02",72
2003,"durham","drhm-02",6
2004,"durham","drhm-02",1
2005,"durham","drhm-02",0
2006,"durham","drhm-02",12
2007,"durham","drhm-02",0
2008,"durham","drhm-02",4
2009,"durham","drhm-02",11
2010,"durham","drhm-02",0
2011,"durham","drhm-02",17
2012,"durham","drhm-02",7
2013,"durham","drhm-02",4
2014,"durham","drhm-02",2
2015,"durham","drhm-02",2
2017,"durham","drhm-02",2
2018,"durham","drhm-02",3
2019,"durham","drhm-02",0
2020,"durham","drhm-02",0
2022,"durham","drhm-02",0
2023,"durham","drhm-02",2
2024,"durham","drhm-02",0
2002,"durham","drhm-03",32
2003,"durham","drhm-03",31
2004,"durham","drhm-03",25
2005,"durham","drhm-03",5
2006,"durham","drhm-03",22
2007,"durham","drhm-03",11
2008,"durham","drhm-03",36
2009,"durham","drhm-03",79
2010,"durham","drhm-03",62
2011,"durham","drhm-03",62
2012,"durham","drhm-03",56
2013,"durham","drhm-03",16
2014,"durham","drhm-03",1
2015,"durham","drhm-03",5
2016,"durham","drhm-03",2
2017,"durham","drhm-03",2
2018,"durham","drhm-03",1
2019,"durham","drhm-03",4
2020,"durham","drhm-03",0
2021,"durham","drhm-03",0
2022,"durham","drhm-03",4
2023,"durham","drhm-03",4
2024,"durham","drhm-03",0
2002,"durham","drhm-04",5
2003,"durham","drhm-04",1
2004,"durham","drhm-04",4
2005,"durham","drhm-04",5
2006,"durham","drhm-04",6
2007,"durham","drhm-04",13
2008,"durham","drhm-04",8
2009,"durham","drhm-04",12
2010,"durham","drhm-04",9
2011,"durham","drhm-04",2
2012,"durham","drhm-04",9
2013,"durham","drhm-04",12
2014,"durham","drhm-04",8
2018,"durham","drhm-04",3
2019,"durham","drhm-04",3
2020,"durham","drhm-04",6
2021,"durham","drhm-04",6
2022,"durham","drhm-04",1
2023,"durham","drhm-04",0
2024,"durham","drhm-04",0
2002,"durham","drhm-05",1
2003,"durham","drhm-05",5
2004,"durham","drhm-05",1
2005,"durham","drhm-05",11
2006,"durham","drhm-05",19
2007,"durham","drhm-05",3
2008,"durham","drhm-05",3
2009,"durham","drhm-05",6
2010,"durham","drhm-05",1
2011,"durham","drhm-05",13
2012,"durham","drhm-05",6
2013,"durham","drhm-05",1
2014,"durham","drhm-05",0
2015,"durham","drhm-05",3
2016,"durham","drhm-05",0
2017,"durham","drhm-05",0
2018,"durham","drhm-05",1
2019,"durham","drhm-05",2
2020,"durham","drhm-05",5
2021,"durham","drhm-05",0
2022,"durham","drhm-05",12
2023,"durham","drhm-05",0
2024,"durham","drhm-05",1
2002,"durham","drhm-06",0
2003,"durham","drhm-06",3
2004,"durham","drhm-06",15
2005,"durham","drhm-06",6
2006,"durham","drhm-06",14
2007,"durham","drhm-06",12
2008,"durham","drhm-06",23
2009,"durham","drhm-06",8
2010,"durham","drhm-06",0
2011,"durham","drhm-06",3
2012,"durham","drhm-06",10
2013,"durham","drhm-06",7
2014,"durham","drhm-06",9
2015,"durham","drhm-06",3
2016,"durham","drhm-06",1
2017,"durham","drhm-06",12
2018,"durham","drhm-06",2
2019,"durham","drhm-06",12
2020,"durham","drhm-06",9
2021,"durham","drhm-06",12
2022,"durham","drhm-06",0
2023,"durham","drhm-06",0
2024,"durham","drhm-06",0
2002,"durham","drhm-07",3
2003,"durham","drhm-07",6
2004,"durham","drhm-07",0
2005,"durham","drhm-07",4
2006,"durham","drhm-07",3
2007,"durham","drhm-07",2
2008,"durham","drhm-07",1
2009,"durham","drhm-07",0
2010,"durham","drhm-07",30
2011,"durham","drhm-07",0
2012,"durham","drhm-07",1
2013,"durham","drhm-07",1
2015,"durham","drhm-07",16
2016,"durham","drhm-07",0
2017,"durham","drhm-07",1
2018,"durham","drhm-07",0
2019,"durham","drhm-07",21
2020,"durham","drhm-07",3
2021,"durham","drhm-07",3
2022,"durham","drhm-07",10
2023,"durham","drhm-07",0
2024,"durham","drhm-07",0
2002,"durham","drhm-08",3
2003,"durham","drhm-08",10
2004,"durham","drhm-08",5
2005,"durham","drhm-08",10
2006,"durham","drhm-08",15
2007,"durham","drhm-08",0
2008,"durham","drhm-08",11
2011,"durham","drhm-08",3
2012,"durham","drhm-08",0
2013,"durham","drhm-08",5
2014,"durham","drhm-08",2
2015,"durham","drhm-08",7
2016,"durham","drhm-08",19
2017,"durham","drhm-08",2
2018,"durham","drhm-08",2
2019,"durham","drhm-08",14
2020,"durham","drhm-08",2
2021,"durham","drhm-08",6
2022,"durham","drhm-08",0
2023,"durham","drhm-08",1
2024,"durham","drhm-08",5
